income_annum,loan_amount,loan_term,cibil_score,loan_status,LTI_Category,LTV_Category,DTI_Category
3600000,9500000,16,748,1,0.0,0.0,0.0
7400000,28200000,8,376,0,1.0,0.0,2.0
6600000,14300000,8,371,0,0.0,0.0,1.0
1800000,5300000,6,826,1,0.0,0.0,2.0
9200000,27200000,12,873,1,0.0,0.0,1.0
2400000,8600000,8,309,0,1.0,2.0,2.0
5600000,13300000,20,869,1,0.0,0.0,0.0
3800000,13900000,12,534,0,1.0,1.0,1.0
4500000,17900000,6,787,1,1.0,0.0,3.0
900000,2200000,16,566,1,0.0,1.0,0.0
2800000,9900000,8,742,1,1.0,1.0,2.0
7500000,23100000,4,824,1,1.0,0.0,3.0
1400000,3100000,14,575,1,0.0,0.0,0.0
3800000,10900000,10,766,1,0.0,1.0,1.0
1700000,5000000,10,888,1,0.0,0.0,1.0
9000000,30400000,6,638,1,1.0,0.0,3.0
7300000,23300000,6,622,1,1.0,0.0,3.0
7400000,19800000,18,458,0,0.0,0.0,0.0
9000000,28200000,16,327,0,1.0,1.0,0.0
3000000,6500000,2,612,1,0.0,0.0,3.0
800000,2900000,8,682,1,1.0,0.0,2.0
4800000,13200000,2,583,1,0.0,0.0,3.0
6400000,18300000,8,697,1,0.0,0.0,2.0
9200000,27100000,12,306,0,0.0,0.0,1.0
400000,1500000,2,669,1,1.0,1.0,3.0
2800000,6000000,18,816,1,0.0,0.0,0.0
8500000,28900000,20,455,0,1.0,0.0,0.0
4700000,16400000,10,318,0,1.0,0.0,1.0
9800000,21200000,20,355,0,0.0,0.0,0.0
3800000,8900000,16,389,0,0.0,0.0,0.0
500000,1500000,2,888,1,0.0,0.0,3.0
6900000,15600000,6,352,0,0.0,0.0,2.0
9600000,30100000,12,870,1,1.0,0.0,1.0
2900000,6500000,18,827,1,0.0,0.0,0.0
9800000,20900000,12,768,1,0.0,0.0,0.0
7100000,15400000,18,707,1,0.0,0.0,0.0
7700000,19100000,10,355,0,0.0,0.0,1.0
1400000,3300000,2,652,1,0.0,0.0,3.0
7800000,15900000,2,665,1,0.0,0.0,3.0
1700000,6000000,18,420,0,1.0,1.0,0.0
8500000,32700000,18,471,0,1.0,0.0,1.0
1900000,7500000,20,715,1,1.0,0.0,0.0
6700000,15200000,10,689,1,0.0,0.0,1.0
6900000,16400000,4,787,1,0.0,0.0,3.0
2600000,7800000,4,819,1,0.0,0.0,3.0
9600000,21100000,6,809,1,0.0,0.0,2.0
6800000,17000000,2,744,1,0.0,0.0,3.0
3200000,11300000,6,484,0,1.0,0.0,3.0
2900000,10400000,6,673,1,1.0,0.0,3.0
7900000,21200000,18,695,1,0.0,0.0,0.0
3900000,12400000,12,473,0,1.0,0.0,1.0
4600000,11000000,2,491,0,0.0,0.0,3.0
700000,1700000,8,733,1,0.0,0.0,1.0
5200000,15600000,20,434,0,0.0,0.0,0.0
5900000,20600000,10,777,1,1.0,1.0,1.0
7200000,19100000,4,774,1,0.0,0.0,3.0
8700000,27000000,10,717,1,1.0,0.0,1.0
1100000,3500000,12,503,0,1.0,0.0,1.0
4000000,10900000,14,598,1,0.0,0.0,0.0
9800000,32400000,2,543,1,1.0,0.0,3.0
2700000,6800000,20,796,1,0.0,0.0,0.0
8800000,34600000,8,386,0,1.0,1.0,2.0
3300000,7800000,16,632,1,0.0,0.0,0.0
6900000,23400000,4,481,1,1.0,0.0,3.0
900000,3500000,4,770,0,1.0,3.0,3.0
4100000,15500000,6,667,1,1.0,1.0,3.0
4700000,17500000,8,585,1,1.0,2.0,2.0
3400000,11600000,16,479,0,1.0,0.0,1.0
9600000,22500000,18,851,1,0.0,0.0,0.0
7000000,16200000,6,378,0,0.0,0.0,2.0
5700000,12900000,18,807,1,0.0,0.0,0.0
8200000,32400000,18,831,1,1.0,0.0,1.0
2100000,5100000,12,674,1,0.0,0.0,1.0
8000000,28100000,18,725,1,1.0,1.0,0.0
8000000,29300000,4,600,1,1.0,0.0,3.0
9400000,27000000,10,536,0,0.0,1.0,1.0
8400000,20600000,10,477,0,0.0,0.0,1.0
1900000,5000000,6,560,1,0.0,0.0,2.0
4200000,16400000,20,539,0,1.0,1.0,0.0
2600000,9100000,8,852,1,1.0,0.0,2.0
3700000,8500000,20,853,1,0.0,0.0,0.0
8800000,30900000,12,729,1,1.0,1.0,1.0
2100000,4700000,2,546,0,0.0,0.0,3.0
900000,2400000,10,489,0,0.0,0.0,1.0
9800000,35400000,6,869,1,1.0,0.0,3.0
8000000,20000000,2,502,0,0.0,0.0,3.0
9800000,38800000,8,652,1,1.0,0.0,2.0
300000,1100000,8,789,1,1.0,1.0,2.0
2700000,8100000,4,325,1,0.0,0.0,3.0
7400000,19600000,2,716,1,0.0,0.0,3.0
9200000,34300000,18,523,0,1.0,0.0,1.0
9500000,22200000,20,352,0,0.0,0.0,0.0
3800000,14400000,2,345,1,1.0,1.0,3.0
8300000,19400000,18,649,1,0.0,0.0,0.0
2800000,7400000,18,666,1,0.0,1.0,0.0
8600000,20900000,10,813,1,0.0,0.0,1.0
5400000,16800000,10,599,1,1.0,0.0,1.0
4200000,9400000,6,678,1,0.0,0.0,2.0
5200000,12200000,20,513,0,0.0,0.0,0.0
9400000,27900000,4,870,1,0.0,1.0,3.0
8800000,20400000,8,483,0,0.0,0.0,1.0
5900000,16700000,16,308,0,0.0,0.0,0.0
1700000,4900000,16,591,1,0.0,0.0,0.0
7000000,23000000,10,886,1,1.0,0.0,1.0
1700000,4000000,6,829,1,0.0,0.0,2.0
1500000,4900000,12,651,1,1.0,0.0,1.0
2000000,4700000,18,733,1,0.0,0.0,0.0
3900000,15500000,12,433,0,1.0,0.0,1.0
900000,3600000,14,713,1,1.0,1.0,1.0
6900000,22500000,18,403,0,1.0,1.0,0.0
2800000,7800000,10,405,0,0.0,0.0,1.0
6800000,19900000,10,516,0,0.0,0.0,1.0
600000,1800000,8,417,0,0.0,0.0,2.0
4700000,14000000,6,468,0,0.0,0.0,2.0
3000000,11800000,10,672,1,1.0,0.0,2.0
4000000,13900000,6,530,0,1.0,0.0,3.0
3100000,11300000,14,824,1,1.0,0.0,1.0
7700000,25500000,12,549,0,1.0,0.0,1.0
4300000,9300000,10,450,0,0.0,0.0,1.0
5800000,19500000,20,431,0,1.0,0.0,0.0
3600000,10700000,16,312,0,0.0,0.0,0.0
2900000,7600000,8,320,0,0.0,0.0,1.0
8800000,20200000,4,433,0,0.0,0.0,3.0
300000,1000000,10,431,0,1.0,0.0,1.0
8600000,28900000,8,516,0,1.0,0.0,2.0
3500000,12000000,14,476,0,1.0,0.0,1.0
800000,2600000,6,560,1,1.0,1.0,3.0
8000000,27100000,12,674,1,1.0,0.0,1.0
9900000,38200000,6,573,1,1.0,1.0,3.0
3300000,6600000,6,331,0,0.0,0.0,1.0
2000000,6700000,12,633,1,1.0,2.0,1.0
4900000,12900000,18,877,1,0.0,0.0,0.0
9200000,23600000,12,656,1,0.0,0.0,1.0
7500000,18200000,6,782,1,0.0,0.0,2.0
9000000,29300000,4,531,1,1.0,0.0,3.0
1400000,4100000,8,455,0,0.0,0.0,2.0
9600000,19900000,14,452,0,0.0,0.0,0.0
8400000,33200000,14,474,0,1.0,0.0,1.0
6400000,24400000,4,483,1,1.0,1.0,3.0
5900000,16800000,8,481,0,0.0,0.0,2.0
2200000,5100000,20,859,1,0.0,0.0,0.0
5600000,14100000,14,696,1,0.0,0.0,0.0
9800000,28700000,6,778,1,0.0,0.0,2.0
4400000,14600000,4,499,1,1.0,0.0,3.0
2400000,4900000,4,888,1,0.0,0.0,3.0
4400000,10800000,12,674,1,0.0,0.0,1.0
3700000,13200000,4,802,1,1.0,0.0,3.0
2300000,7800000,8,540,0,1.0,1.0,2.0
5900000,19600000,8,726,1,1.0,0.0,2.0
6400000,23500000,2,485,1,1.0,1.0,3.0
4900000,17100000,6,612,1,1.0,0.0,3.0
9500000,24200000,8,879,1,0.0,0.0,1.0
5700000,16400000,12,708,1,0.0,1.0,1.0
2700000,5700000,8,850,1,0.0,0.0,1.0
3900000,11300000,12,516,0,0.0,1.0,1.0
7800000,28800000,12,465,0,1.0,0.0,1.0
1100000,3200000,20,716,1,0.0,0.0,0.0
200000,600000,10,404,0,0.0,3.0,1.0
4700000,10600000,20,512,0,0.0,0.0,0.0
8200000,20600000,10,441,0,0.0,0.0,1.0
4600000,18400000,2,555,1,1.0,1.0,3.0
1800000,7000000,18,466,0,1.0,0.0,1.0
3200000,8600000,2,427,0,0.0,0.0,3.0
5500000,20000000,14,593,1,1.0,0.0,1.0
7900000,18300000,10,731,1,0.0,0.0,1.0
4000000,10100000,16,451,0,0.0,0.0,0.0
6800000,16900000,18,628,1,0.0,1.0,0.0
2700000,9400000,18,704,1,1.0,0.0,0.0
6800000,23500000,12,341,0,1.0,0.0,1.0
8600000,21000000,8,465,0,0.0,0.0,1.0
8000000,30100000,4,431,1,1.0,0.0,3.0
3700000,12600000,10,424,0,1.0,0.0,1.0
2600000,5100000,14,678,1,0.0,0.0,0.0
4200000,16800000,6,381,0,1.0,0.0,3.0
8000000,28000000,10,449,0,1.0,1.0,2.0
7100000,23500000,12,768,1,1.0,0.0,1.0
2000000,7000000,6,666,0,1.0,3.0,3.0
5800000,13300000,14,742,1,0.0,0.0,0.0
6700000,15800000,4,445,0,0.0,0.0,3.0
7300000,28700000,14,634,1,1.0,1.0,1.0
3300000,9700000,14,782,1,0.0,1.0,1.0
3000000,7000000,10,781,1,0.0,0.0,1.0
7900000,17200000,14,318,0,0.0,0.0,0.0
7600000,24100000,18,721,1,1.0,0.0,0.0
3700000,9800000,4,563,1,0.0,0.0,3.0
8400000,26300000,4,419,1,1.0,0.0,3.0
8200000,20800000,14,372,0,0.0,0.0,0.0
2900000,9500000,18,885,1,1.0,0.0,0.0
9900000,38400000,12,596,1,1.0,1.0,1.0
4400000,14100000,2,349,1,1.0,1.0,3.0
9000000,32200000,16,468,0,1.0,0.0,1.0
6800000,26900000,16,818,1,1.0,0.0,1.0
8700000,28000000,12,543,0,1.0,0.0,1.0
9400000,21900000,16,685,1,0.0,0.0,0.0
6000000,12500000,18,851,1,0.0,0.0,0.0
9400000,29800000,10,377,0,1.0,0.0,1.0
1000000,4000000,10,620,1,1.0,0.0,2.0
900000,2300000,20,611,1,0.0,0.0,0.0
2100000,7700000,4,767,1,1.0,1.0,3.0
1100000,3200000,20,592,1,0.0,0.0,0.0
600000,2300000,4,319,1,1.0,0.0,3.0
9200000,25500000,10,900,1,0.0,0.0,1.0
3600000,12800000,18,814,1,1.0,0.0,0.0
1300000,5000000,10,755,1,1.0,0.0,2.0
7700000,16800000,20,584,1,0.0,0.0,0.0
9500000,23500000,14,380,0,0.0,0.0,0.0
5000000,17600000,20,465,0,1.0,0.0,0.0
500000,1800000,2,531,1,1.0,0.0,3.0
8300000,32100000,16,814,1,1.0,0.0,1.0
5300000,17900000,6,678,1,1.0,1.0,3.0
9300000,29000000,12,655,1,1.0,0.0,1.0
2300000,7400000,2,682,1,1.0,0.0,3.0
400000,1300000,6,695,1,1.0,2.0,3.0
3200000,10800000,4,833,1,1.0,1.0,3.0
9400000,35300000,16,302,0,1.0,0.0,1.0
2300000,6600000,2,357,0,0.0,0.0,3.0
4300000,14500000,12,302,0,1.0,0.0,1.0
6200000,22400000,18,873,1,1.0,0.0,1.0
7200000,19800000,12,658,1,0.0,0.0,1.0
2400000,8700000,18,877,1,1.0,1.0,1.0
2900000,6300000,8,648,1,0.0,0.0,1.0
1400000,5200000,12,730,1,1.0,1.0,1.0
2200000,8200000,14,737,1,1.0,0.0,1.0
800000,3200000,10,584,0,1.0,3.0,2.0
600000,1700000,2,621,1,0.0,0.0,3.0
700000,2700000,16,583,1,1.0,1.0,1.0
8400000,25900000,16,621,1,1.0,0.0,0.0
7100000,21500000,16,610,1,1.0,0.0,0.0
5400000,15700000,18,452,0,0.0,0.0,0.0
3700000,7300000,18,339,0,0.0,0.0,0.0
5200000,15200000,16,650,1,0.0,1.0,0.0
200000,700000,10,672,1,1.0,1.0,1.0
500000,1000000,20,501,0,0.0,0.0,0.0
1800000,5700000,4,809,1,1.0,0.0,3.0
9200000,29400000,8,318,0,1.0,0.0,2.0
900000,3300000,10,649,1,1.0,3.0,2.0
7500000,28300000,12,367,0,1.0,0.0,1.0
3000000,11800000,6,847,1,1.0,0.0,3.0
7100000,18900000,12,360,0,0.0,0.0,1.0
3500000,7200000,2,865,1,0.0,0.0,3.0
4900000,18800000,16,880,1,1.0,1.0,1.0
4100000,8400000,20,608,1,0.0,0.0,0.0
800000,2100000,6,760,1,0.0,2.0,2.0
1700000,4600000,12,385,0,0.0,0.0,1.0
6100000,23300000,12,478,0,1.0,2.0,1.0
2100000,7700000,16,327,0,1.0,1.0,1.0
3100000,9300000,6,663,1,0.0,1.0,2.0
1700000,3500000,20,693,1,0.0,0.0,0.0
1700000,5400000,6,710,1,1.0,0.0,3.0
4000000,14500000,6,711,1,1.0,1.0,3.0
5600000,18400000,8,386,0,1.0,0.0,2.0
3900000,11900000,10,855,1,1.0,0.0,1.0
6100000,15300000,14,573,1,0.0,0.0,0.0
1100000,2800000,18,431,0,0.0,0.0,0.0
5500000,14800000,8,364,0,0.0,0.0,1.0
1100000,3600000,14,711,1,1.0,0.0,1.0
400000,900000,20,771,1,0.0,0.0,0.0
9200000,36400000,18,669,1,1.0,1.0,1.0
9300000,27500000,18,338,0,0.0,0.0,0.0
1100000,3500000,8,562,1,1.0,0.0,2.0
5600000,18700000,2,769,1,1.0,0.0,3.0
6300000,21500000,8,629,1,1.0,1.0,2.0
8800000,18100000,6,699,1,0.0,0.0,1.0
8400000,20800000,20,590,1,0.0,0.0,0.0
1600000,5700000,4,707,1,1.0,0.0,3.0
4500000,11400000,8,391,0,0.0,0.0,1.0
6500000,18500000,4,891,1,0.0,0.0,3.0
9500000,20600000,2,731,1,0.0,0.0,3.0
4700000,16700000,12,775,1,1.0,1.0,1.0
9600000,32400000,2,897,1,1.0,1.0,3.0
8000000,26700000,20,794,1,1.0,0.0,0.0
7700000,16700000,6,555,1,0.0,0.0,2.0
3600000,10300000,12,536,0,0.0,0.0,1.0
700000,1700000,10,839,1,0.0,0.0,1.0
1400000,5100000,6,890,1,1.0,0.0,3.0
8600000,27900000,20,415,0,1.0,0.0,0.0
4700000,15700000,4,868,1,1.0,1.0,3.0
2900000,5800000,12,353,0,0.0,0.0,0.0
9000000,29000000,16,590,1,1.0,0.0,1.0
500000,900000,18,618,1,0.0,0.0,0.0
700000,1700000,10,539,0,0.0,0.0,1.0
6800000,27000000,4,429,1,1.0,0.0,3.0
1800000,4700000,8,792,1,0.0,0.0,1.0
6000000,12400000,2,608,1,0.0,0.0,3.0
5400000,21500000,14,555,1,1.0,1.0,1.0
8400000,17500000,12,620,1,0.0,0.0,0.0
7400000,20900000,6,635,1,0.0,0.0,2.0
3200000,12500000,10,457,0,1.0,1.0,2.0
5400000,21400000,8,350,0,1.0,1.0,2.0
1000000,2500000,14,885,1,0.0,0.0,0.0
4400000,14700000,16,638,1,1.0,1.0,1.0
3800000,10500000,12,710,1,0.0,0.0,1.0
6100000,20900000,18,470,0,1.0,1.0,0.0
5500000,17300000,16,874,1,1.0,1.0,0.0
500000,1800000,18,411,0,1.0,0.0,1.0
300000,1100000,2,482,1,1.0,1.0,3.0
6200000,16900000,2,396,0,0.0,0.0,3.0
300000,900000,20,436,0,0.0,1.0,0.0
6900000,22100000,20,303,0,1.0,0.0,0.0
3700000,11400000,12,728,1,1.0,0.0,1.0
8800000,28600000,10,775,1,1.0,0.0,1.0
8200000,23500000,12,402,0,0.0,0.0,1.0
9200000,31500000,18,698,1,1.0,1.0,0.0
2400000,7800000,14,665,1,1.0,0.0,1.0
4100000,13500000,18,490,0,1.0,0.0,0.0
8000000,31900000,12,504,0,1.0,0.0,1.0
3600000,8600000,8,790,1,0.0,0.0,1.0
700000,2700000,20,669,1,1.0,1.0,0.0
8300000,30700000,6,381,0,1.0,0.0,3.0
5300000,15000000,2,900,1,0.0,0.0,3.0
8300000,24900000,16,506,0,0.0,0.0,0.0
2500000,8800000,12,538,0,1.0,0.0,1.0
5400000,14400000,8,677,1,0.0,0.0,1.0
1600000,4900000,8,685,1,1.0,0.0,2.0
2400000,6200000,12,860,1,0.0,0.0,1.0
6300000,14800000,6,608,1,0.0,0.0,2.0
2500000,5300000,10,540,0,0.0,0.0,1.0
7500000,16800000,16,492,0,0.0,0.0,0.0
2900000,8500000,14,834,1,0.0,0.0,1.0
1000000,3500000,16,834,1,1.0,0.0,1.0
8600000,28800000,8,890,1,1.0,0.0,2.0
300000,1100000,12,443,0,1.0,0.0,1.0
2300000,5700000,18,329,0,0.0,0.0,0.0
2400000,5400000,12,739,1,0.0,0.0,0.0
9800000,30300000,6,867,1,1.0,0.0,3.0
8100000,24800000,6,307,0,1.0,0.0,3.0
6700000,15500000,18,492,0,0.0,0.0,0.0
8400000,24700000,18,698,1,0.0,0.0,0.0
200000,700000,8,851,1,1.0,0.0,2.0
4700000,12500000,14,375,0,0.0,0.0,0.0
4300000,14300000,14,601,1,1.0,0.0,1.0
2200000,7000000,20,756,1,1.0,0.0,0.0
8600000,19200000,4,868,1,0.0,0.0,3.0
2000000,7200000,10,838,1,1.0,1.0,2.0
4200000,15900000,14,375,0,1.0,0.0,1.0
5100000,12500000,18,778,1,0.0,0.0,0.0
4100000,11200000,6,442,0,0.0,0.0,2.0
9900000,39500000,12,808,1,1.0,1.0,1.0
3200000,9000000,20,372,0,0.0,0.0,0.0
5500000,19000000,4,597,1,1.0,1.0,3.0
7800000,29100000,20,435,0,1.0,0.0,0.0
3400000,9700000,20,728,1,0.0,1.0,0.0
7900000,25900000,14,373,0,1.0,0.0,1.0
8900000,18500000,10,367,0,0.0,0.0,1.0
7300000,19100000,14,552,1,0.0,0.0,0.0
3300000,10600000,8,465,0,1.0,1.0,2.0
2900000,10500000,8,607,1,1.0,0.0,2.0
500000,1300000,4,427,0,0.0,0.0,3.0
7200000,21200000,4,711,1,0.0,0.0,3.0
8300000,24100000,14,823,1,0.0,1.0,1.0
8700000,20500000,6,523,0,0.0,0.0,2.0
7100000,27900000,10,328,0,1.0,0.0,2.0
9800000,28200000,12,721,1,0.0,0.0,1.0
6900000,17000000,20,599,1,0.0,0.0,0.0
2400000,5000000,14,580,1,0.0,0.0,0.0
2100000,4900000,10,744,1,0.0,0.0,1.0
7200000,23900000,4,559,1,1.0,0.0,3.0
4600000,13500000,16,587,1,0.0,0.0,0.0
9900000,31800000,18,817,1,1.0,0.0,0.0
300000,1000000,20,655,1,1.0,1.0,0.0
6900000,23900000,6,382,0,1.0,0.0,3.0
1700000,4300000,6,765,1,0.0,0.0,2.0
4400000,10000000,20,516,0,0.0,0.0,0.0
4300000,15000000,8,383,0,1.0,2.0,2.0
3700000,14100000,6,633,1,1.0,2.0,3.0
